Date,Open,High,Low,Close,Volume
1/2/2019 16:56:00,5.64,5.81,5.6,5.81,844300
1/3/2019 16:56:00,5.78,5.8,5.61,5.75,823200
1/4/2019 16:56:00,5.75,5.76,5.58,5.58,866300
1/7/2019 16:56:00,5.56,5.7,5.54,5.66,661700
1/8/2019 16:56:00,5.68,5.7,5.6,5.62,606200
1/9/2019 16:56:00,5.66,5.69,5.56,5.6,774900
1/10/2019 16:56:00,5.6,5.66,5.56,5.65,763500
1/11/2019 16:56:00,5.66,5.67,5.55,5.55,1171300
1/14/2019 16:56:00,5.56,5.62,5.5,5.6,1066500
1/15/2019 16:56:00,5.63,5.65,5.49,5.53,1028200
1/16/2019 16:56:00,5.54,5.56,5.41,5.47,1107900
1/17/2019 16:56:00,5.44,5.51,5.4,5.45,897700
1/18/2019 16:56:00,5.49,5.53,5.42,5.45,703000
1/21/2019 16:56:00,5.44,5.45,5.22,5.22,1250400
1/22/2019 16:56:00,5.1,5.22,5.02,5.07,2032700
1/23/2019 16:56:00,5.13,5.32,5.09,5.3,1195300
1/24/2019 16:56:00,5.33,5.35,5.16,5.24,1132700
1/28/2019 16:56:00,5.19,5.27,5.13,5.23,782900
1/29/2019 16:56:00,5.25,5.62,5.25,5.57,1599200
1/30/2019 16:56:00,5.63,5.69,5.41,5.51,1374100
1/31/2019 16:56:00,5.55,5.66,5.43,5.6,955800
2/1/2019 16:56:00,5.6,5.64,5.51,5.59,645800
2/4/2019 16:56:00,5.55,5.57,5.46,5.54,542600
2/5/2019 16:56:00,5.53,5.54,5.46,5.49,451700
2/6/2019 16:56:00,5.45,5.45,5.27,5.3,807700
2/7/2019 16:56:00,5.33,5.48,5.21,5.21,1177000
2/8/2019 16:56:00,5.25,5.31,5.14,5.31,688300
2/11/2019 16:56:00,5.31,5.31,5.14,5.17,678600
2/12/2019 16:56:00,5.22,5.26,5.1,5.15,1019600
2/13/2019 16:56:00,5.18,5.19,4.95,5.04,1202000
2/14/2019 16:56:00,5.08,5.35,5,5.34,1054500
2/15/2019 16:56:00,5.3,5.31,5.13,5.13,982500
2/18/2019 16:56:00,5.12,5.27,5.08,5.27,468200
2/19/2019 16:56:00,5.25,5.38,5.24,5.3,946000
2/20/2019 16:56:00,5.37,5.37,5.07,5.08,1511200
2/21/2019 16:56:00,5.13,5.14,4.99,5.04,1269900
2/22/2019 16:56:00,5.31,5.66,5.19,5.56,3813700
2/25/2019 16:56:00,5.59,5.62,5.43,5.43,1292500
2/26/2019 16:56:00,5.41,5.62,5.35,5.58,1055600
2/27/2019 16:56:00,5.58,5.61,5.46,5.5,797000
2/28/2019 16:56:00,5.5,5.53,5.32,5.42,1001400
3/1/2019 16:56:00,5.47,5.6,5.41,5.48,887900
3/6/2019 16:56:00,5.48,5.48,5.35,5.36,485100
3/7/2019 16:56:00,5.36,5.56,5.33,5.54,1240100
3/8/2019 16:56:00,5.5,5.73,5.43,5.65,1694000
3/11/2019 16:56:00,5.65,5.75,5.57,5.71,1221200
3/12/2019 16:56:00,5.66,5.67,5.56,5.59,707000
3/13/2019 16:56:00,5.57,5.61,5.49,5.54,717800
3/14/2019 16:56:00,5.53,5.58,5.49,5.52,426200
3/15/2019 16:56:00,5.56,5.58,5.49,5.54,792800
3/18/2019 16:56:00,5.53,5.67,5.51,5.64,1351400
3/19/2019 16:56:00,5.62,5.71,5.61,5.65,676700
3/20/2019 16:56:00,5.65,5.7,5.6,5.68,725500
3/21/2019 16:56:00,5.64,5.7,5.6,5.7,984300
3/22/2019 16:56:00,5.62,5.69,5.4,5.42,1384900
3/25/2019 16:56:00,5.43,5.51,5.33,5.41,1034100
3/26/2019 16:56:00,5.47,5.52,5.43,5.52,765300
3/27/2019 16:56:00,5.47,5.47,5.2,5.25,1609800
3/28/2019 16:56:00,5.28,5.39,5.16,5.34,1400300
3/29/2019 16:56:00,5.38,5.44,5.35,5.4,717500
4/1/2019 16:56:00,5.44,5.46,5.35,5.35,507100
4/2/2019 16:56:00,5.39,5.39,5.17,5.19,1112700
4/3/2019 16:56:00,5.25,5.4,5.21,5.29,1267600
4/4/2019 16:56:00,5.31,5.36,5.24,5.28,711900
4/5/2019 16:56:00,5.29,5.34,5.24,5.31,737300
4/8/2019 16:56:00,5.3,5.32,5.16,5.21,2410000
4/9/2019 16:56:00,5.19,5.26,5.11,5.2,1059700
4/10/2019 16:56:00,5.22,5.27,5.17,5.27,636400
4/11/2019 16:56:00,5.26,5.26,5.13,5.19,650900
4/12/2019 16:56:00,5.13,5.27,5.07,5.15,833400
4/15/2019 16:56:00,5.19,5.22,5.08,5.11,1311900
4/16/2019 16:56:00,5.1,5.18,5.05,5.09,747800
4/17/2019 16:56:00,5.11,5.15,4.96,5,1230800
4/18/2019 16:56:00,5.03,5.35,5.01,5.34,1375500
4/22/2019 16:56:00,5.31,5.32,5.19,5.23,435000
4/23/2019 16:56:00,5.25,5.36,5.25,5.35,521200
4/24/2019 16:56:00,5.34,5.41,5.27,5.39,812500
4/25/2019 16:56:00,5.35,5.47,5.32,5.47,774400
4/26/2019 16:56:00,5.5,5.63,5.48,5.59,1156600
4/29/2019 16:56:00,5.6,5.63,5.54,5.58,514000
4/30/2019 16:56:00,5.74,5.98,5.72,5.98,2144800
5/2/2019 16:56:00,5.9,6.02,5.87,5.96,1354900
5/3/2019 16:56:00,5.97,6.22,5.97,6.13,1202400
5/6/2019 16:56:00,6.1,6.28,6.07,6.26,1538500
5/7/2019 16:56:00,6.3,6.32,5.98,6.01,1714300
5/8/2019 16:56:00,6,6.11,6,6.05,908300
5/9/2019 16:56:00,6.03,6.03,5.81,5.81,1080900
5/10/2019 16:56:00,5.85,5.9,5.66,5.83,884300
5/13/2019 16:56:00,5.77,5.79,5.63,5.63,935200
5/14/2019 16:56:00,5.72,5.78,5.56,5.57,1021400
5/15/2019 16:56:00,5.51,5.51,5.37,5.41,1488400
5/16/2019 16:56:00,5.38,5.4,5.21,5.22,1778500
5/17/2019 16:56:00,5.16,5.4,5.16,5.28,1060800
5/20/2019 16:56:00,5.31,5.48,5.29,5.41,1029500
5/21/2019 16:56:00,5.5,5.68,5.49,5.61,1165600
5/22/2019 16:56:00,5.66,5.76,5.56,5.63,1113800
5/23/2019 16:56:00,5.55,5.7,5.47,5.64,1041800
5/24/2019 16:56:00,5.7,5.74,5.5,5.53,809700
5/27/2019 16:56:00,5.66,5.69,5.56,5.56,490700
5/28/2019 16:56:00,5.64,5.91,5.63,5.91,2066500
5/29/2019 16:56:00,5.95,6.11,5.85,5.92,1416300
5/30/2019 16:56:00,5.94,6.08,5.93,6.03,905700
5/31/2019 16:56:00,6,6.13,5.99,6.13,847300
6/3/2019 16:56:00,6.16,6.21,6.05,6.09,834200
6/4/2019 16:56:00,6.19,6.22,6,6.08,819400
6/5/2019 16:56:00,6.13,6.16,5.88,5.98,1271100
6/6/2019 16:56:00,6.06,6.06,5.88,5.94,689400
6/7/2019 16:56:00,5.96,6.2,5.96,6.2,985000
6/10/2019 16:56:00,6.21,6.39,6.14,6.33,1174800
6/11/2019 16:56:00,6.38,6.55,6.37,6.48,1131100
6/12/2019 16:56:00,6.44,6.44,6.28,6.35,1331600
6/13/2019 16:56:00,6.44,6.57,6.42,6.55,1288800
6/14/2019 16:56:00,6.53,6.72,6.42,6.61,1482400
6/17/2019 16:56:00,6.63,6.75,6.47,6.49,1378400
6/18/2019 16:56:00,6.58,6.65,6.47,6.51,1107000
6/19/2019 16:56:00,6.47,6.6,6.41,6.56,2601300
6/21/2019 16:56:00,6.6,6.69,6.59,6.65,1241800
6/24/2019 16:56:00,6.63,6.69,6.52,6.56,846700
6/25/2019 16:56:00,6.53,6.6,6.46,6.46,1043800
6/26/2019 16:56:00,6.5,6.57,6.47,6.52,713800
6/27/2019 16:56:00,6.51,6.55,6.42,6.52,744300
6/28/2019 16:56:00,6.55,6.6,6.48,6.6,1014400
7/1/2019 16:56:00,6.63,6.68,6.54,6.57,714300
7/2/2019 16:56:00,6.59,6.64,6.53,6.64,711100
7/3/2019 16:56:00,6.62,6.9,6.6,6.9,1359700
7/4/2019 16:56:00,6.96,7,6.91,6.91,1134900
7/5/2019 16:56:00,6.94,7.13,6.89,7.07,984400
7/8/2019 16:56:00,7.07,7.23,7.04,7.17,942800
7/10/2019 16:56:00,7.23,7.37,7.23,7.3,1119200
7/11/2019 16:56:00,7.37,7.37,7.16,7.21,1078700
7/12/2019 16:56:00,7.35,7.51,7.25,7.25,1930500
7/15/2019 16:56:00,7.35,7.36,7.19,7.21,936300
7/16/2019 16:56:00,7.25,7.32,7.24,7.31,697300
